Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Penthouse,3850000,4,3,207.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,1900000,3,3,212.0,No,3,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3500000,3,2,133.0,No,2,Mountain View Hyde Park,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1100000,3,3,132.0,No,5,Ashgar City,Cash,2024,Semi Finished,6th of October
Penthouse,2650000,4,3,193.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,3895000,3,3,225.0,No,2,Mountain View iCity,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2754000,3,2,156.0,No,1,Jayd,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1250000,2,1,70.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2215451,2,2,100.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,1720000,3,3,140.0,No,5,Dar Misr,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,3834525,4,3,220.0,No,2,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,2184700,3,2,170.0,No,2,Nest Cairo,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,3300000,3,3,162.0,No,2,Taj City,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,185000,3,1,90.0,No,2,Not in Compound,Cash,2024,Finished,Badr City
Apartment,2173000,2,2,127.0,No,1,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1550000,2,1,91.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3500000,3,3,240.0,No,4,Not in Compound,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2746480,3,3,150.0,No,2,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,1420000,3,3,148.0,No,1,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1800000,2,2,87.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2775000,3,3,192.0,No,2,Zayed Dunes,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,3300000,3,3,175.0,No,3,Madinaty,Cash,2025,Finished,Madinaty
Apartment,2999088,3,3,155.0,No,1,Mountain View iCity,Cash or Installment,2023,Not Finished,6th of October
Apartment,1650000,2,2,98.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3500000,3,3,170.0,Yes,5,Rehab City,Cash,2024,Finished,Rehab City
Duplex,1952500,4,3,355.0,No,1,Not in Compound,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,1250000,2,1,77.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2011000,3,2,163.0,No,5,Tag Sultan,Cash or Installment,2023,Not Finished,New Cairo - El Tagamoa
Apartment,7220888,3,2,142.0,No,3,Belle Vie,Installment,2025,Finished,Sheikh Zayed
Apartment,3900000,3,3,185.0,No,5,Hyde Park New Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,125800,3,2,180.0,No,2,Beit Al Watan,Installment,2025,Semi Finished,6th of October
Apartment,2900000,4,3,175.0,No,3,Scene 7,Installment,2024,Not Finished,New Capital City
Apartment,2375000,2,2,125.0,No,3,Murooj,Installment,2025,Finished,Smoha
Apartment,2425750,2,2,155.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1870000,3,2,167.0,No,10,Not in Compound,Cash,2024,Finished,Smoha
Apartment,2905000,2,2,128.0,No,3,Taj City,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1210000,3,2,110.0,No,3,TRUE Gate,Cash or Installment,2024,Not Finished,Nasr City
Apartment,3600000,3,3,186.0,No,4,Hyde Park New Cairo,Installment,2024,Not Finished,Rehab City
Apartment,8100000,3,3,170.0,No,4,Mivida,Installment,2024,Finished,New Cairo - El Tagamoa
Penthouse,5600000,3,5,276.0,No,3,Regents Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4400000,3,2,149.0,No,1,Village West,Installment,2024,Finished,Sheikh Zayed
Apartment,3430000,2,2,120.0,No,1,Lake view Residence,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Duplex,4465000,3,3,234.0,No,2,Hyde Park New Cairo,Cash,2024,Not Finished,Rehab City
Apartment,1300000,2,1,120.0,Yes,4,Not in Compound,Cash,2024,Finished,Dokki
Apartment,7250000,3,3,220.0,No,3,Uptown Cairo,Cash,2024,Finished,Mokattam
Apartment,340000,2,2,120.0,No,4,Nakheel,Cash,2024,Finished,Nakheel
Apartment,1566000,3,3,174.0,No,1,Andalus,Cash or Installment,2022,Semi Finished,New Cairo - El Tagamoa
Apartment,2469000,3,3,148.0,No,2,Sun Capital,Installment,2024,Finished,6th of October
Apartment,4900000,3,2,170.0,No,3,Uptown Cairo,Cash,2025,Finished,Mokattam
Apartment,1043000,2,1,80.0,No,2,Eco West,Cash or Installment,2024,Finished,6th of October
Duplex,450000,5,2,300.0,No,5,Nakheel,Cash or Installment,2024,Finished,Nakheel
Apartment,6300000,3,3,221.0,No,2,Palm Parks,Cash,2024,Finished,Sheikh Zayed
Apartment,5500000,3,5,236.0,No,1,Taj City,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1500000,2,1,90.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1400000,1,1,60.0,No,1,Kayan,Cash or Installment,2026,Semi Finished,6th of October
Apartment,4850000,3,3,177.0,No,1,Villette,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1550000,2,1,92.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2070000,3,2,130.0,No,1,Kayan,Cash or Installment,2026,Semi Finished,6th of October
Duplex,5789000,3,3,209.0,No,1,AZAD,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3603000,2,2,114.0,No,1,AZAD,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,7650000,3,3,200.0,No,1,Uptown Cairo,Cash,2024,Finished,Mokattam
Penthouse,3700000,3,3,400.0,No,3,Granda,Installment,2024,Semi Finished,Shorouk City
Apartment,2200000,3,2,130.0,No,1,Kayan,Cash or Installment,2025,Semi Finished,6th of October
Apartment,600000,3,2,119.0,No,5,Noor City,Installment,2026,Finished,New Capital City
Penthouse,5580000,3,2,193.0,No,1,Fifth Square,Installment,2024,Finished,Rehab City
Apartment,4000000,4,3,196.0,Yes,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,225000,3,2,179.0,No,1,Beit Al Watan,Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,1450000,2,1,77.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,650000,3,2,150.0,No,3,Not in Compound,Cash,2024,Finished,Damietta City
Apartment,3400000,3,3,220.0,No,3,Mountain View iCity,Cash,2024,Not Finished,New Cairo - El Tagamoa
Duplex,6700000,4,3,317.0,No,5,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3000000,3,3,240.0,No,5,Vinci,Installment,2025,Semi Finished,New Capital City
Apartment,908800,3,1,128.0,No,2,Beit Al Watan,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,825500,2,2,127.0,No,1,Beit Al Watan,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,264600,3,3,180.0,No,1,Beit Al Watan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,250250,3,2,154.0,No,3,Beit Al Watan,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,9500000,3,3,243.0,No,2,Mivida,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1800000,3,2,103.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2800000,3,2,157.0,No,3,Madinaty,Cash or Installment,2025,Finished,Madinaty
Apartment,2183200,3,2,162.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,550000,3,1,80.0,Yes,3,Not in Compound,Cash,2024,Finished,Ras al-Bar
Apartment,6500000,3,3,190.0,No,1,Eastown,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,3360000,3,3,160.0,No,4,Hyde Park New Cairo,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,3696000,3,3,176.0,No,4,Hyde Park New Cairo,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,2300000,3,2,135.0,No,1,Madinaty,Cash or Installment,2024,Finished,Madinaty
Apartment,3590000,4,3,238.0,No,1,Tag Sultan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2310200,3,3,160.0,No,2,EL Patio Casa,Cash,2024,Semi Finished,Shorouk City
Apartment,2600100,3,3,176.0,No,1,Stone Residence,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1621000,2,2,137.0,No,4,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,7000000,3,4,223.0,No,1,Sodic Westown,Cash,2024,Finished,Sheikh Zayed
Apartment,1688750,4,3,195.0,No,3,Beit Al Watan,Cash or Installment,2023,Not Finished,New Cairo - El Tagamoa
Apartment,1456000,2,2,127.0,No,1,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1547000,2,2,129.0,No,1,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Duplex,2015000,3,3,203.0,No,2,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1200000,2,2,129.0,No,5,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1551000,3,3,169.0,No,1,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,4350000,3,2,181.0,No,5,Rehab City,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2555000,3,3,145.0,No,1,Tag Sultan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1630000,3,3,153.0,No,2,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1220000,3,3,150.0,No,1,Beit Al Watan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1505600,4,3,198.0,No,2,Beit Al Watan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1778600,4,3,228.0,No,3,Beit Al Watan,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,2200000,3,3,173.0,No,3,The Square,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2650000,3,2,165.0,No,3,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,9000000,3,3,234.0,No,2,Mivida,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2600000,4,4,199.0,No,2,Hyde Park New Cairo,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Duplex,5424000,3,3,200.0,No,1,Hyde Park New Cairo,Installment,2022,Semi Finished,New Cairo - El Tagamoa
Apartment,4300000,3,4,211.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2550000,4,3,200.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3300000,3,4,187.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1660000,3,3,184.0,No,2,Degla Gardens,Installment,2024,Semi Finished,Hadayek 6th of October
Apartment,2800000,3,3,175.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,4350000,3,3,248.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Studio,1003000,1,1,69.0,No,1,Madinaty,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Penthouse,6700000,3,4,216.0,No,12,Sodic Westown,Cash,2025,Semi Finished,6th of October
Penthouse,4900000,3,3,147.0,No,12,Sodic Westown,Cash,2025,Semi Finished,6th of October
Apartment,1950000,3,3,180.0,No,2,Beta Gardens,Cash,2024,Finished,Hadayek 6th of October
Apartment,3000000,3,2,160.0,Yes,11,Not in Compound,Cash,2024,Finished,Cleopatra
Apartment,470000,2,1,78.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,4200000,3,3,205.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2150000,3,2,116.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Studio,500000,1,1,68.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1700000,2,1,106.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2200000,3,2,143.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2050000,2,3,156.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,7500000,3,3,237.0,No,4,New Giza,Installment,2024,Finished,6th of October
Apartment,8236800,3,3,168.0,No,5,ZED Towers,Installment,2024,Finished,Sheikh Zayed
Apartment,8600800,3,3,168.0,No,11,ZED Towers,Installment,2024,Finished,Sheikh Zayed
Apartment,5324800,3,3,167.0,No,3,ZED Towers,Installment,2024,Finished,Sheikh Zayed
Apartment,4804800,3,2,161.0,No,7,ZED Towers,Installment,2024,Finished,Sheikh Zayed
Apartment,4253600,3,2,161.0,No,8,ZED Towers,Installment,2024,Finished,Sheikh Zayed
Apartment,5537500,3,3,211.0,No,9,ZED Towers,Installment,2024,Finished,Sheikh Zayed
